series_id,start_time_scheduled,date,team_1,team_2,team_1_id,team_2_id,title,title_id,tournament,tournament_short_name,tournament_id,format,format_short_name,format_id,series_type,workflow_status,source
2949144,2026-06-16T17:00:00Z,2026-06-16,KOLESIE,GenOne,55754,51536,Counter Strike 2,28,CCT 2026 Europe Series 4 (Group Stage),Group Stage,829526,best-of-3,Bo3,3,ESPORTS,PUBLISHED,GRID
2949143,2026-06-16T14:00:00Z,2026-06-16,PsychoFace,Leo Team,57103,54537,Counter Strike 2,28,CCT 2026 Europe Series 4 (Group Stage),Group Stage,829526,best-of-3,Bo3,3,ESPORTS,PUBLISHED,GRID
2962560,2026-06-16T11:20:00Z,2026-06-16,Clutchain,LPH Gaming,57541,55228,Counter Strike 2,28,United21 Season 51 (Group Stage),Group Stage,829713,best-of-3,Bo3,3,ESPORTS,PUBLISHED,GRID
2950821,2026-06-16T11:20:00Z,2026-06-16,EAC,KOLESIE,57172,55754,Counter Strike 2,28,European Pro League Series 7 (Playoffs),Playoffs,829554,best-of-3,Bo3,3,ESPORTS,PUBLISHED,GRID
2949142,2026-06-16T11:00:00Z,2026-06-16,illwill,ex-RUBY,56500,56563,Counter Strike 2,28,CCT 2026 Europe Series 4 (Group Stage),Group Stage,829526,best-of-3,Bo3,3,ESPORTS,PUBLISHED,GRID
2960789,2026-06-16T08:30:00Z,2026-06-16,DXA,MARKnLARRY,52111,56825,Counter Strike 2,28,DFRAG Open Series #5 (Playoffs),Playoffs,829692,best-of-3,Bo3,3,ESPORTS,PUBLISHED,GRID
2960788,2026-06-16T08:30:00Z,2026-06-16,Rooster,Ground Zero Gaming,49890,49701,Counter Strike 2,28,DFRAG Open Series #5 (Playoffs),Playoffs,829692,best-of-3,Bo3,3,ESPORTS,PUBLISHED,GRID
2962559,2026-06-16T08:00:00Z,2026-06-16,XEPT,MASQ,57366,57066,Counter Strike 2,28,United21 Season 51 (Group Stage),Group Stage,829713,best-of-3,Bo3,3,ESPORTS,PUBLISHED,GRID
2950820,2026-06-16T08:00:00Z,2026-06-16,Sashi,HyperSpirit,51319,56254,Counter Strike 2,28,European Pro League Series 7 (Playoffs),Playoffs,829554,best-of-3,Bo3,3,ESPORTS,PUBLISHED,GRID
2962871,2026-06-15T18:00:00Z,2026-06-15,ReThink,uust_esports,56595,56970,Counter Strike 2,28,ESEA Advanced Season 57 - Europe (Playoffs),Playoffs,829662,best-of-3,Bo3,3,ESPORTS,PUBLISHED,GRID
