match_id,date,begin_at,end_at,team_1,team_2,team_1_id,team_2_id,team_1_score,team_2_score,winner,winner_id,status,match_type,number_of_games,league,serie,tournament,event_name
1540259,2026-06-15,2026-06-15T13:35:05Z,2026-06-15T14:57:29Z,EAC Rising,eSuba,138820,127497,0,2,eSuba,127497,finished,best_of,3,United21,—,Group A,United21 / Group A
1519604,2026-06-15,2026-06-15T14:30:52Z,2026-06-15T15:47:44Z,Virtus.pro,brazylijski luz,3288,132679,2,0,Virtus.pro,3288,finished,best_of,3,CCT Europe,Series #4,Group Stage,CCT Europe / Series #4 / Group Stage
1525870,2026-06-15,2026-06-15T08:40:11Z,2026-06-15T10:11:30Z,Rooster,DXA Esports,127114,133211,2,0,Rooster,127114,finished,best_of,3,Dfrag,Open Series #5,Playoffs,Dfrag / Open Series #5 / Playoffs
1540258,2026-06-15,2026-06-15T08:02:29Z,2026-06-15T10:16:39Z,Millennium Esports,Coalesce,137470,129463,1,2,Coalesce,129463,finished,best_of,3,United21,—,Group A,United21 / Group A
1517525,2026-06-15,2026-06-15T08:12:59Z,2026-06-15T10:57:06Z,Gentle Mates,Acend,137296,137546,2,1,Gentle Mates,137296,finished,best_of,3,NODWIN Clutch Series,—,Playoffs,NODWIN Clutch Series / Playoffs
1504771,2026-06-15,2026-06-15T10:50:40Z,2026-06-15T12:43:37Z,Walczaki,G2 Ares,138610,135321,2,0,Walczaki,138610,finished,best_of,3,European Pro League,Series 7,Playoffs,European Pro League / Series 7 / Playoffs
1517526,2026-06-15,2026-06-15T11:17:36Z,2026-06-15T13:31:29Z,100 Thieves,Betclic Apogee Esports,126452,135381,2,0,100 Thieves,126452,finished,best_of,3,NODWIN Clutch Series,—,Playoffs,NODWIN Clutch Series / Playoffs
1513150,2026-06-15,2026-06-15T12:01:31Z,2026-06-15T13:58:24Z,9z,TheMongolz,126709,3272,2,0,9z,126709,finished,best_of,3,IEM,Cologne Major,Stage 3,IEM / Cologne Major / Stage 3
1519603,2026-06-15,2026-06-15T11:03:19Z,2026-06-15T14:11:11Z,Bebop,RUSTEC,137701,134815,2,1,Bebop,137701,finished,best_of,3,CCT Europe,Series #4,Group Stage,CCT Europe / Series #4 / Group Stage
1517527,2026-06-15,2026-06-15T14:08:49Z,2026-06-15T15:38:46Z,Team Nemesis,CYBERSHOKE Esports,137289,133542,2,0,Team Nemesis,137289,finished,best_of,3,NODWIN Clutch Series,—,Playoffs,NODWIN Clutch Series / Playoffs
1513151,2026-06-15,2026-06-15T14:31:02Z,2026-06-15T16:13:52Z,BetBoom Team,FUT Esports,133458,136955,2,0,BetBoom Team,133458,finished,best_of,3,IEM,Cologne Major,Stage 3,IEM / Cologne Major / Stage 3
1536143,2026-06-15,2026-06-15T21:14:26Z,2026-06-15T22:09:52Z,QUINTESSÊNCIA,BESTIA Academy,138524,135743,0,1,BESTIA Academy,135743,finished,best_of,1,Gamers Club Liga Série A,June,Group A,Gamers Club Liga Série A / June / Group A
1541286,2026-06-15,2026-06-15T17:10:54Z,2026-06-15T18:54:02Z,Fortress,WAZABI,137953,137950,2,0,Fortress,137953,finished,best_of,3,Dust2.dk Ligaen,Division 1,Playoffs,Dust2.dk Ligaen / Division 1 / Playoffs
1517528,2026-06-15,2026-06-15T17:12:38Z,2026-06-15T19:04:08Z,Infinite,ex-RUBY,127976,137932,2,0,Infinite,127976,finished,best_of,3,NODWIN Clutch Series,—,Playoffs,NODWIN Clutch Series / Playoffs
1519605,2026-06-15,2026-06-15T17:02:29Z,2026-06-15T19:16:55Z,SPARTA,G2 Ares,136659,135321,2,0,SPARTA,136659,finished,best_of,3,CCT Europe,Series #4,Group Stage,CCT Europe / Series #4 / Group Stage
1541285,2026-06-15,2026-06-15T17:04:30Z,2026-06-15T19:27:04Z,AaB Bulls,Linx Legacy Esport,138577,129876,1,2,Linx Legacy Esport,129876,finished,best_of,3,Dust2.dk Ligaen,Division 1,Playoffs,Dust2.dk Ligaen / Division 1 / Playoffs
1513152,2026-06-15,2026-06-15T17:00:58Z,2026-06-15T20:39:36Z,Natus Vincere,G2,3216,3210,1,2,G2,3210,finished,best_of,3,IEM,Cologne Major,Stage 3,IEM / Cologne Major / Stage 3
1526459,2026-06-15,2026-06-15T18:05:48Z,2026-06-15T20:40:46Z,ReThink,Wingman,137967,135326,2,1,ReThink,137967,finished,best_of,3,ESEA,Advanced Europe,Playoffs,ESEA / Advanced Europe / Playoffs
1534439,2026-06-15,2026-06-15T20:16:21Z,2026-06-15T21:01:00Z,paiN Academy,ODDIK,131849,131253,0,1,ODDIK,131253,finished,best_of,1,Gamers Club Liga Série A,June,Group D,Gamers Club Liga Série A / June / Group D
1534441,2026-06-15,2026-06-15T21:14:23Z,2026-06-15T21:50:58Z,MIBR Academy,Hunters Rising,129800,138686,0,1,Hunters Rising,138686,finished,best_of,1,Gamers Club Liga Série A,June,Group C,Gamers Club Liga Série A / June / Group C
1525871,2026-06-15,2026-06-15T08:13:30Z,2026-06-15T09:42:03Z,Ground Zero,MARKandLARRY,125873,127125,2,0,Ground Zero,125873,finished,best_of,3,Dfrag,Open Series #5,Playoffs,Dfrag / Open Series #5 / Playoffs
1537571,2026-06-15,2026-06-15T21:21:56Z,2026-06-15T22:00:41Z,largadosypelados,HATERS,131848,138796,1,0,largadosypelados,131848,finished,best_of,1,Gamers Club Liga Série A,June,Group B,Gamers Club Liga Série A / June / Group B
1504768,2026-06-14,2026-06-14T10:38:38Z,2026-06-14T13:21:37Z,Nuclear TigeRES,Oxuji Esports,135673,133994,1,2,Oxuji Esports,133994,finished,best_of,3,European Pro League,Series 7,Playoffs,European Pro League / Series 7 / Playoffs
1534987,2026-06-14,2026-06-14T17:26:25Z,2026-06-14T20:36:25Z,Metizport,Alliance,129440,133725,1,2,Alliance,133725,finished,best_of,3,ROG Journey,—,Playoffs,ROG Journey / Playoffs
1517524,2026-06-14,2026-06-14T17:04:21Z,2026-06-14T18:59:51Z,illwill,Nuclear TigeRES,137511,135673,0,2,Nuclear TigeRES,135673,finished,best_of,3,NODWIN Clutch Series,—,Playoffs,NODWIN Clutch Series / Playoffs
1527911,2026-06-14,2026-06-14T17:43:50Z,2026-06-14T18:56:55Z,Bushido Wildcats,Eternal Fire Academy,136934,130059,2,0,Bushido Wildcats,136934,finished,best_of,3,TESFED League,—,Playoffs,TESFED League / Playoffs
1513149,2026-06-14,2026-06-14T17:00:51Z,2026-06-14T18:37:41Z,G2,Legacy,3210,133708,2,0,G2,3210,finished,best_of,3,IEM,Cologne Major,Stage 3,IEM / Cologne Major / Stage 3
1527910,2026-06-14,2026-06-14T16:05:19Z,2026-06-14T17:23:08Z,FULLPOWER,FUT Turkuaz,138772,137202,0,2,FUT Turkuaz,137202,finished,best_of,3,TESFED League,—,Playoffs,TESFED League / Playoffs
1533929,2026-06-14,2026-06-13T22:12:08Z,2026-06-14T00:28:58Z,Marsborne,Festina Lente,136318,138795,2,1,Marsborne,136318,finished,best_of,3,NSTLGA League,—,Playoffs,NSTLGA League / Playoffs
1533930,2026-06-14,2026-06-13T22:12:15Z,2026-06-14T00:38:17Z,Detonate,Iowa Stormboar,129547,138716,1,2,Iowa Stormboar,138716,finished,best_of,3,NSTLGA League,—,Playoffs,NSTLGA League / Playoffs
1534982,2026-06-14,2026-06-14T08:03:23Z,2026-06-14T09:26:09Z,Nexus,Noir Verse,126699,138812,2,0,Nexus,126699,finished,best_of,3,ROG Journey,—,Playoffs,ROG Journey / Playoffs
1534983,2026-06-14,2026-06-14T08:03:17Z,2026-06-14T09:40:05Z,BASEMENT BOYS,Alliance,136516,133725,0,2,Alliance,133725,finished,best_of,3,ROG Journey,—,Playoffs,ROG Journey / Playoffs
1517521,2026-06-14,2026-06-14T08:11:09Z,2026-06-14T09:49:47Z,K27,Walczaki,135298,138610,2,0,K27,135298,finished,best_of,3,NODWIN Clutch Series,—,Playoffs,NODWIN Clutch Series / Playoffs
1530797,2026-06-14,2026-06-14T08:08:30Z,2026-06-14T09:58:46Z,WRAITH PCIFIC,Clutchain,138660,138496,0,2,Clutchain,138496,finished,best_of,3,United21,—,Playoffs,United21 / Playoffs
